Date,Open,High,Low,Close,Adj Close,Volume
1996-02-15,61.070000,61.070000,61.070000,61.070000,40.453865,0
1996-02-16,60.770000,60.770000,60.770000,60.770000,40.255135,0
1996-02-20,60.080002,60.080002,60.080002,60.080002,39.798065,0
1996-02-21,60.790001,60.790001,60.790001,60.790001,40.268383,0
1996-02-22,61.799999,61.799999,61.799999,61.799999,40.937431,0
1996-02-23,61.820000,61.820000,61.820000,61.820000,40.950687,0
1996-02-26,61.020000,61.020000,61.020000,61.020000,40.420738,0
1996-02-27,60.720001,60.720001,60.720001,60.720001,40.222027,0
1996-02-28,60.490002,60.490002,60.490002,60.490002,40.069660,0
1996-02-29,60.099998,60.099998,60.099998,60.099998,39.811314,0
1996-03-01,60.470001,60.470001,60.470001,60.470001,40.056408,0
1996-03-04,61.090000,61.090000,61.090000,61.090000,40.467106,0
1996-03-05,61.549999,61.549999,61.549999,61.549999,40.771816,0
1996-03-06,61.220001,61.220001,61.220001,61.220001,40.553215,0
1996-03-07,61.380001,61.380001,61.380001,61.380001,40.659222,0
1996-03-08,59.490002,59.490002,59.490002,59.490002,39.407242,0
1996-03-11,60.099998,60.099998,60.099998,60.099998,39.811314,0
1996-03-12,59.830002,59.830002,59.830002,59.830002,39.632462,0
1996-03-13,59.990002,59.990002,59.990002,59.990002,39.738449,0
1996-03-14,60.220001,60.220001,60.220001,60.220001,39.890804,0
1996-03-15,60.270000,60.270000,60.270000,60.270000,39.923939,0
1996-03-18,61.330002,61.330002,61.330002,61.330002,40.626095,0
1996-03-19,61.240002,61.240002,61.240002,61.240002,40.566494,0
1996-03-20,61.080002,61.080002,61.080002,61.080002,40.460491,0
1996-03-21,61.009998,61.009998,61.009998,61.009998,40.414120,0
1996-03-22,61.139999,61.139999,61.139999,61.139999,40.500233,0
1996-03-25,61.090000,61.090000,61.090000,61.090000,40.467106,0
1996-03-26,61.110001,61.110001,61.110001,61.110001,40.653393,0
1996-03-27,60.740002,60.740002,60.740002,60.740002,40.407234,0
1996-03-28,60.750000,60.750000,60.750000,60.750000,40.413876,0
1996-03-29,60.430000,60.430000,60.430000,60.430000,40.200993,0
1996-04-01,61.200001,61.200001,61.200001,61.200001,40.713253,0
1996-04-02,61.349998,61.349998,61.349998,61.349998,40.813030,0
1996-04-03,61.410000,61.410000,61.410000,61.410000,40.852951,0
1996-04-04,61.419998,61.419998,61.419998,61.419998,40.859615,0
1996-04-08,60.349998,60.349998,60.349998,60.349998,40.147789,0
1996-04-09,60.160000,60.160000,60.160000,60.160000,40.021400,0
1996-04-10,59.340000,59.340000,59.340000,59.340000,39.475895,0
1996-04-11,59.130001,59.130001,59.130001,59.130001,39.336174,0
1996-04-12,59.639999,59.639999,59.639999,59.639999,39.675468,0
1996-04-15,60.189999,60.189999,60.189999,60.189999,40.041351,0
1996-04-16,60.419998,60.419998,60.419998,60.419998,40.194363,0
1996-04-17,60.110001,60.110001,60.110001,60.110001,39.988121,0
1996-04-18,60.299999,60.299999,60.299999,60.299999,40.114532,0
1996-04-19,60.439999,60.439999,60.439999,60.439999,40.207661,0
1996-04-22,60.700001,60.700001,60.700001,60.700001,40.380642,0
1996-04-23,61.049999,61.049999,61.049999,61.049999,40.613468,0
1996-04-24,60.919998,60.919998,60.919998,60.919998,40.526985,0
1996-04-25,61.169998,61.169998,61.169998,61.169998,40.693283,0
1996-04-26,61.240002,61.240002,61.240002,61.240002,40.739883,0
1996-04-29,61.299999,61.299999,61.299999,61.299999,40.779770,0
1996-04-30,61.310001,61.310001,61.310001,61.310001,40.786415,0
1996-05-01,61.360001,61.360001,61.360001,61.360001,40.819695,0
1996-05-02,60.320000,60.320000,60.320000,60.320000,40.127834,0
1996-05-03,60.150002,60.150002,60.150002,60.150002,40.014744,0
1996-05-06,60.090000,60.090000,60.090000,60.090000,39.974827,0
1996-05-07,59.849998,59.849998,59.849998,59.849998,39.815174,0
1996-05-08,60.470001,60.470001,60.470001,60.470001,40.227623,0
1996-05-09,60.549999,60.549999,60.549999,60.549999,40.280849,0
1996-05-10,61.180000,61.180000,61.180000,61.180000,40.699928,0
1996-05-13,62.070000,62.070000,62.070000,62.070000,41.292019,0
1996-05-14,62.470001,62.470001,62.470001,62.470001,41.558121,0
1996-05-15,62.459999,62.459999,62.459999,62.459999,41.551468,0
1996-05-16,62.410000,62.410000,62.410000,62.410000,41.518219,0
1996-05-17,62.820000,62.820000,62.820000,62.820000,41.790962,0
1996-05-20,63.220001,63.220001,63.220001,63.220001,42.057064,0
1996-05-21,63.189999,63.189999,63.189999,63.189999,42.037102,0
1996-05-22,63.730000,63.730000,63.730000,63.730000,42.396336,0
1996-05-23,63.500000,63.500000,63.500000,63.500000,42.243317,0
1996-05-24,63.740002,63.740002,63.740002,63.740002,42.402988,0
1996-05-28,63.150002,63.150002,63.150002,63.150002,42.010498,0
1996-05-29,62.759998,62.759998,62.759998,62.759998,41.751026,0
1996-05-30,63.119999,63.119999,63.119999,63.119999,41.990528,0
1996-05-31,62.869999,62.869999,62.869999,62.869999,41.824215,0
1996-06-03,62.750000,62.750000,62.750000,62.750000,41.744392,0
1996-06-04,63.200001,63.200001,63.200001,63.200001,42.043743,0
1996-06-05,63.779999,63.779999,63.779999,63.779999,42.429600,0
1996-06-06,63.279999,63.279999,63.279999,63.279999,42.096966,0
1996-06-07,63.299999,63.299999,63.299999,63.299999,42.110283,0
1996-06-10,63.200001,63.200001,63.200001,63.200001,42.043743,0
1996-06-11,63.090000,63.090000,63.090000,63.090000,41.970577,0
1996-06-12,62.939999,62.939999,62.939999,62.939999,41.870789,0
1996-06-13,62.830002,62.830002,62.830002,62.830002,41.797600,0
1996-06-14,62.639999,62.639999,62.639999,62.639999,41.671219,0
1996-06-17,62.580002,62.580002,62.580002,62.580002,41.631294,0
1996-06-18,62.279999,62.279999,62.279999,62.279999,41.431717,0
1996-06-19,62.270000,62.270000,62.270000,62.270000,41.425072,0
1996-06-20,62.290001,62.290001,62.290001,62.290001,41.438374,0
1996-06-21,62.740002,62.740002,62.740002,62.740002,41.737717,0
1996-06-24,62.919998,62.919998,62.919998,62.919998,41.857479,0
1996-06-25,62.680000,62.680000,62.680000,62.680000,41.844139,0
1996-06-26,62.310001,62.310001,62.310001,62.310001,41.597111,0
1996-06-27,62.689999,62.689999,62.689999,62.689999,41.850811,0
1996-06-28,62.889999,62.889999,62.889999,62.889999,41.984322,0
1996-07-01,63.389999,63.389999,63.389999,63.389999,42.318104,0
1996-07-02,63.189999,63.189999,63.189999,63.189999,42.184589,0
1996-07-03,63.080002,63.080002,63.080002,63.080002,42.111164,0
1996-07-05,61.680000,61.680000,61.680000,61.680000,41.176540,0
1996-07-08,61.230000,61.230000,61.230000,61.230000,40.876133,0
1996-07-09,61.450001,61.450001,61.450001,61.450001,41.022991,0
1996-07-10,61.570000,61.570000,61.570000,61.570000,41.103111,0
1996-07-11,60.610001,60.610001,60.610001,60.610001,40.462223,0
1996-07-12,60.639999,60.639999,60.639999,60.639999,40.482250,0
1996-07-15,59.110001,59.110001,59.110001,59.110001,39.460857,0
1996-07-16,58.970001,58.970001,58.970001,58.970001,39.367386,0
1996-07-17,59.520000,59.520000,59.520000,59.520000,39.734554,0
1996-07-18,60.410000,60.410000,60.410000,60.410000,40.328716,0
1996-07-19,59.970001,59.970001,59.970001,59.970001,40.034973,0
1996-07-22,59.490002,59.490002,59.490002,59.490002,39.714554,0
1996-07-23,58.849998,58.849998,58.849998,58.849998,39.287308,0
1996-07-24,58.820000,58.820000,58.820000,58.820000,39.267258,0
1996-07-25,59.259998,59.259998,59.259998,59.259998,39.561001,0
1996-07-26,59.700001,59.700001,59.700001,59.700001,39.854729,0
1996-07-29,59.240002,59.240002,59.240002,59.240002,39.547646,0
1996-07-30,59.650002,59.650002,59.650002,59.650002,39.821335,0
1996-07-31,60.110001,60.110001,60.110001,60.110001,40.128448,0
1996-08-01,61.060001,61.060001,61.060001,61.060001,40.762661,0
1996-08-02,62.250000,62.250000,62.250000,62.250000,41.557072,0
1996-08-05,62.029999,62.029999,62.029999,62.029999,41.410202,0
1996-08-06,62.230000,62.230000,62.230000,62.230000,41.543724,0
1996-08-07,62.400002,62.400002,62.400002,62.400002,41.657207,0
1996-08-08,62.270000,62.270000,62.270000,62.270000,41.570415,0
1996-08-09,62.270000,62.270000,62.270000,62.270000,41.570415,0
1996-08-12,62.580002,62.580002,62.580002,62.580002,41.777363,0
1996-08-13,62.080002,62.080002,62.080002,62.080002,41.443596,0
1996-08-14,62.259998,62.259998,62.259998,62.259998,41.563740,0
1996-08-15,62.290001,62.290001,62.290001,62.290001,41.583775,0
1996-08-16,62.570000,62.570000,62.570000,62.570000,41.770699,0
1996-08-19,62.689999,62.689999,62.689999,62.689999,41.850811,0
1996-08-20,62.619999,62.619999,62.619999,62.619999,41.804077,0
1996-08-21,62.560001,62.560001,62.560001,62.560001,41.764011,0
1996-08-22,63.090000,63.090000,63.090000,63.090000,42.117840,0
1996-08-23,62.759998,62.759998,62.759998,62.759998,41.897518,0
1996-08-26,62.470001,62.470001,62.470001,62.470001,41.703945,0
1996-08-27,62.689999,62.689999,62.689999,62.689999,41.850811,0
1996-08-28,62.560001,62.560001,62.560001,62.560001,41.764011,0
1996-08-29,61.880001,61.880001,61.880001,61.880001,41.310059,0
1996-08-30,61.369999,61.369999,61.369999,61.369999,40.969604,0
