SMI-Family
ISIN;CH0009980894;;;;CH0019399820;;;;CH0019399838;;;;CH0019399853;;;;CH0019399861;;;;CH0009987501;CH0017810976
SYMBOL;SMI;;;;SMIMC;;;;SMIM;;;;SMIEXC;;;;SMIEXP;;;;SXGE;SPIEX
NAME;SMI®;;;;SMIM® TR;;;;SMIM PR;;;;SMI Expanded TM TR;;;;SMI Expanded PR;;;;SPI® Gesamt Index TR;SPI Extra® TR
;Price;;;;Total-Return;;;;Price-Index;;;;Total-Return;;;;Price-Index;;;;Total-Return;Total-Return
YTDPerf.%;-8.190;-9.200;-8.270;-9.300;4.520;3.860;4.460;3.520;2.460;1.810;2.400;1.480;-4.000;-5.040;-4.140;-5.170;-6.950;-7.960;-7.090;-8.080;-4.590;2.900;
Date;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Close;Close;
24.05.2013;8205.19;8168.78;8236.75;8137.33;1788.40;1783.32;1797.20;1777.32;1418.51;1414.48;1425.48;1409.72;1548.62;1541.86;1554.58;1536.01;1118.85;1113.97;1123.16;1109.75;7674.59;2203.82;
23.05.2013;8245.62;8168.52;8263.22;8137.69;1800.48;1782.73;1802.12;1773.58;1428.09;1414.01;1429.39;1406.75;1557.07;1541.77;1558.86;1536.14;1124.96;1113.90;1126.26;1109.84;7673.63;2200.58;
22.05.2013;8341.67;8407.61;8411.30;8297.83;1813.28;1822.98;1823.49;1809.74;1438.24;1445.93;1446.34;1435.43;1574.17;1585.95;1586.60;1566.13;1137.31;1145.83;1146.30;1131.51;7889.83;2246.37;
21.05.2013;8279.90;8318.42;8318.42;8222.42;1803.29;1811.11;1812.23;1794.24;1430.32;1436.52;1437.40;1423.13;1562.20;1569.72;1569.75;1552.00;1128.67;1134.10;1134.12;1121.30;7810.32;2231.52;
17.05.2013;8252.34;8280.25;8281.86;8200.91;1808.96;1805.16;1810.90;1799.04;1434.81;1431.80;1436.35;1426.95;1558.55;1562.70;1563.00;1548.64;1126.03;1129.03;1129.25;1118.87;7776.41;2224.74;
16.05.2013;8314.04;8256.15;8344.95;8248.14;1806.33;1807.91;1814.63;1804.05;1432.73;1433.98;1439.31;1430.92;1570.12;1558.78;1574.48;1557.12;1134.39;1126.20;1137.54;1125.00;7755.07;2226.06;
15.05.2013;8216.38;8313.08;8325.90;8210.77;1802.12;1809.90;1810.61;1801.19;1429.39;1435.56;1436.12;1428.65;1550.72;1568.71;1570.88;1550.51;1120.37;1133.37;1134.94;1120.22;7800.96;2230.53;
14.05.2013;8171.70;8187.75;8193.13;8125.79;1796.14;1801.41;1801.41;1787.85;1424.64;1428.83;1428.83;1418.07;1543.62;1546.54;1547.32;1534.88;1115.24;1117.35;1117.92;1108.93;7693.05;2217.74;
13.05.2013;8175.30;8147.68;8181.26;8108.23;1794.60;1793.07;1796.75;1784.30;1426.22;1425.00;1427.92;1418.03;1543.09;1539.01;1544.95;1531.61;1115.06;1112.11;1116.41;1106.76;7656.90;2209.95;
10.05.2013;8109.52;8177.85;8181.52;8105.08;1786.35;1796.99;1797.02;1783.79;1420.66;1429.12;1429.14;1418.62;1531.16;1544.49;1545.10;1531.16;1106.51;1116.14;1116.59;1106.51;7684.72;2215.33;
08.05.2013;7986.28;8093.02;8102.84;7983.92;1762.11;1780.12;1781.87;1761.96;1401.38;1415.70;1417.09;1401.26;1508.57;1528.61;1530.38;1508.50;1090.18;1104.67;1105.95;1090.14;7606.27;2197.96;
07.05.2013;7941.10;7977.54;8002.17;7933.23;1755.37;1761.71;1768.80;1753.98;1396.02;1401.06;1406.70;1394.91;1499.80;1507.35;1512.13;1499.22;1083.85;1089.30;1092.76;1083.43;7504.83;2177.63;
06.05.2013;7926.01;7927.34;7943.27;7907.19;1749.25;1752.88;1753.81;1743.32;1391.15;1394.04;1394.78;1386.43;1497.08;1498.04;1500.36;1493.94;1081.88;1082.58;1084.25;1079.62;7458.23;2166.03;
03.05.2013;7904.34;7937.61;7967.78;7871.84;1731.53;1746.59;1750.58;1730.06;1382.58;1394.60;1397.78;1381.40;1490.96;1498.55;1504.00;1486.17;1078.40;1083.89;1087.83;1074.94;7461.21;2161.25;
02.05.2013;7867.73;7902.21;7902.95;7850.86;1730.47;1730.28;1732.29;1719.67;1382.33;1382.18;1383.78;1373.70;1485.55;1491.19;1491.27;1482.38;1074.53;1078.61;1078.67;1072.24;7420.15;2143.62;
30.04.2013;7943.81;7906.21;7955.39;7874.15;1733.40;1731.67;1737.85;1726.91;1384.67;1383.29;1388.23;1379.49;1499.04;1491.99;1500.73;1486.25;1084.29;1079.19;1085.51;1075.04;7424.88;2147.93;
29.04.2013;7870.61;7901.73;7922.90;7868.57;1727.26;1729.23;1735.25;1724.59;1379.77;1381.34;1386.15;1377.63;1485.68;1490.82;1494.80;1485.40;1074.77;1078.49;1081.37;1074.58;7417.43;2142.31;
26.04.2013;7875.34;7856.32;7882.25;7841.36;1729.90;1723.55;1732.10;1719.00;1381.88;1376.80;1383.63;1373.17;1484.87;1480.37;1485.43;1477.58;1075.80;1072.54;1076.21;1070.52;7367.47;2135.29;
25.04.2013;7859.67;7901.24;7916.06;7807.67;1717.49;1728.79;1731.34;1714.85;1371.96;1380.99;1383.03;1369.85;1481.44;1488.14;1490.87;1471.16;1073.55;1078.41;1080.38;1066.10;7405.06;2137.48;
24.04.2013;7823.88;7859.63;7865.33;7810.69;1701.88;1716.58;1717.68;1701.61;1361.24;1373.00;1373.88;1361.02;1472.19;1478.82;1479.88;1469.63;1067.87;1072.68;1073.44;1066.02;7359.24;2123.98;
23.04.2013;7646.77;7802.48;7806.19;7645.90;1664.77;1696.92;1698.83;1664.66;1331.56;1357.27;1358.80;1331.47;1439.36;1467.50;1468.26;1438.63;1044.06;1064.47;1065.02;1043.52;7302.90;2106.95;
22.04.2013;7666.06;7609.10;7680.59;7602.10;1664.48;1661.32;1676.56;1660.24;1332.79;1330.26;1342.46;1329.40;1441.48;1431.64;1444.98;1430.36;1045.70;1038.56;1048.24;1037.64;7129.85;2070.75;
19.04.2013;7610.22;7618.76;7645.53;7573.14;1654.67;1662.08;1666.14;1652.26;1326.54;1332.48;1335.74;1324.61;1430.42;1433.19;1438.08;1424.96;1037.91;1039.91;1043.47;1033.94;7139.10;2073.36;
18.04.2013;7511.28;7578.97;7614.32;7482.92;1642.86;1648.16;1654.62;1635.13;1321.35;1325.61;1330.81;1315.13;1412.77;1424.92;1431.35;1407.52;1025.67;1034.49;1039.16;1021.86;7097.56;2057.59;
17.04.2013;7747.34;7533.81;7754.07;7516.55;1681.89;1648.67;1683.48;1643.47;1354.59;1327.83;1355.87;1323.65;1456.12;1417.25;1457.52;1413.94;1057.27;1029.06;1058.29;1026.65;7061.89;2060.77;
16.04.2013;7724.15;7717.60;7758.09;7652.40;1677.29;1677.61;1682.19;1666.03;1350.88;1351.14;1354.83;1341.81;1452.29;1450.93;1458.07;1439.07;1054.50;1053.50;1058.69;1044.89;7225.23;2094.56;
15.04.2013;7744.18;7754.73;7764.88;7682.32;1703.45;1684.90;1706.85;1680.07;1371.96;1357.01;1374.69;1353.12;1457.89;1457.85;1460.91;1445.21;1058.56;1058.53;1060.75;1049.36;7259.34;2103.30;
12.04.2013;7800.44;7760.60;7813.96;7734.63;1709.46;1698.63;1709.48;1692.49;1376.79;1368.07;1376.81;1363.13;1457.56;1450.61;1460.38;1445.72;1065.13;1060.05;1067.19;1056.48;7228.31;2118.18;
11.04.2013;7770.97;7815.28;7825.37;7767.41;1699.32;1708.60;1715.80;1697.84;1368.63;1376.10;1381.90;1367.44;1451.01;1458.80;1460.82;1450.16;1061.70;1067.41;1068.88;1061.08;7268.06;2127.28;
10.04.2013;7671.53;7771.37;7783.19;7670.19;1659.73;1695.86;1697.76;1658.41;1339.91;1369.08;1370.61;1338.85;1430.54;1450.36;1452.42;1430.40;1046.96;1061.46;1062.97;1046.85;7228.60;2117.03;
09.04.2013;7725.09;7653.95;7731.27;7638.67;1661.68;1654.85;1665.42;1653.69;1341.49;1335.98;1344.51;1335.04;1439.23;1427.22;1441.14;1424.65;1053.32;1044.53;1054.71;1042.65;7114.69;2075.81;
08.04.2013;7648.35;7691.84;7710.62;7640.22;1668.72;1659.85;1673.47;1657.24;1347.60;1340.44;1351.44;1338.33;1427.04;1434.03;1438.27;1425.92;1044.42;1049.54;1052.65;1043.61;7146.83;2078.54;
05.04.2013;7767.29;7641.11;7769.06;7596.93;1691.53;1660.74;1691.56;1651.35;1366.02;1341.16;1366.04;1333.57;1444.23;1420.94;1444.25;1412.90;1060.41;1043.31;1060.42;1037.40;7083.20;2079.37;
04.04.2013;7890.13;7762.65;7892.95;7753.00;1712.22;1690.47;1712.81;1688.57;1382.73;1365.17;1383.20;1363.63;1467.53;1443.81;1467.53;1442.06;1077.51;1060.10;1077.51;1058.81;7194.69;2110.78;
03.04.2013;7900.29;7875.10;7946.86;7869.51;1719.54;1710.88;1726.67;1708.57;1388.64;1381.64;1394.40;1379.78;1469.07;1464.40;1477.59;1463.27;1078.65;1075.22;1084.90;1074.39;7294.58;2132.28;
02.04.2013;7801.17;7899.30;7913.73;7800.38;1708.51;1718.64;1720.35;1707.31;1380.09;1388.26;1389.65;1379.11;1451.79;1469.10;1471.62;1451.79;1065.98;1078.69;1080.54;1065.98;7317.05;2137.71;
28.03.2013;7790.96;7813.67;7840.98;7781.09;1693.76;1708.66;1712.68;1691.99;1369.23;1381.27;1384.52;1367.80;1448.70;1453.86;1458.48;1447.13;1063.79;1067.58;1070.97;1062.64;7243.46;2128.10;
27.03.2013;7817.53;7780.17;7821.66;7724.11;1701.99;1690.98;1704.28;1685.75;1378.84;1369.92;1380.70;1365.69;1454.22;1446.81;1454.84;1436.98;1068.06;1062.61;1068.51;1055.39;7209.15;2109.35;
26.03.2013;7766.20;7800.05;7807.35;7741.21;1688.70;1696.23;1700.15;1684.74;1368.07;1374.17;1377.35;1364.86;1445.21;1450.58;1451.95;1439.78;1061.44;1065.38;1066.39;1057.45;7225.81;2115.59;
25.03.2013;7787.82;7758.22;7812.40;7750.10;1692.58;1687.10;1698.70;1680.60;1372.09;1366.78;1376.18;1361.51;1448.06;1442.79;1452.79;1441.01;1063.59;1059.66;1067.01;1058.35;7188.17;2108.12;
22.03.2013;7752.03;7744.33;7777.91;7720.82;1698.34;1685.81;1698.53;1685.81;1376.76;1366.61;1376.92;1366.61;1442.94;1439.97;1446.01;1436.14;1060.11;1057.93;1062.36;1055.11;7173.96;2107.68;
21.03.2013;7855.35;7762.30;7858.44;7757.09;1714.35;1703.08;1715.28;1696.39;1389.75;1380.61;1390.49;1375.18;1461.03;1444.38;1461.41;1443.09;1073.40;1061.16;1073.68;1060.22;7197.51;2124.86;
20.03.2013;7820.31;7847.70;7862.64;7813.96;1712.07;1718.07;1719.78;1710.02;1387.89;1392.75;1394.15;1386.23;1454.59;1459.74;1462.25;1453.52;1068.83;1072.62;1074.47;1068.05;7270.71;2141.23;
19.03.2013;7814.26;7789.60;7842.59;7777.83;1716.22;1707.77;1716.22;1704.93;1391.26;1384.40;1391.26;1382.10;1453.25;1449.13;1458.70;1446.99;1067.85;1064.82;1071.85;1063.25;7220.40;2129.86;
18.03.2013;7774.42;7830.37;7842.41;7770.35;1704.85;1719.06;1719.57;1699.34;1382.04;1393.56;1393.97;1377.57;1445.82;1456.90;1458.91;1445.59;1062.39;1070.53;1072.01;1062.22;7260.02;2142.84;
15.03.2013;7859.51;7864.39;7874.21;7829.57;1723.48;1722.90;1728.83;1720.43;1397.14;1396.67;1401.48;1394.67;1462.26;1462.94;1464.72;1456.89;1074.47;1074.97;1076.28;1070.52;7290.42;2148.09;
14.03.2013;7806.81;7842.85;7845.34;7802.14;1711.47;1725.39;1725.39;1710.34;1387.41;1398.69;1398.69;1386.49;1451.56;1459.50;1459.58;1451.55;1066.61;1072.45;1072.50;1066.60;7272.24;2147.28;
13.03.2013;7799.38;7780.88;7801.60;7758.12;1712.11;1706.63;1712.64;1701.64;1387.92;1383.48;1388.35;1379.44;1450.62;1447.56;1451.48;1443.54;1065.92;1063.67;1066.55;1060.72;7214.02;2127.75;
12.03.2013;7749.23;7802.93;7806.61;7746.51;1709.82;1712.00;1714.45;1707.56;1386.07;1387.84;1389.82;1384.24;1442.10;1451.71;1452.35;1441.97;1059.66;1066.72;1067.19;1059.56;7233.69;2134.08;
11.03.2013;7732.58;7758.65;7760.22;7720.42;1710.36;1708.97;1711.06;1700.34;1386.51;1385.38;1387.07;1378.38;1439.65;1444.00;1444.25;1437.09;1057.86;1061.05;1061.24;1055.98;7196.89;2131.42;
08.03.2013;7730.28;7744.84;7776.00;7722.38;1714.52;1712.84;1719.85;1710.86;1389.88;1388.52;1394.20;1386.91;1439.28;1441.98;1447.45;1438.31;1057.59;1059.57;1063.59;1056.87;7186.87;2133.39;
07.03.2013;7700.40;7708.96;7720.51;7682.30;1709.05;1710.84;1716.10;1708.82;1385.45;1386.90;1391.16;1385.26;1434.79;1435.77;1438.09;1431.15;1054.28;1055.00;1056.71;1051.61;7156.98;2129.69;
06.03.2013;7719.79;7698.72;7748.69;7689.21;1714.06;1704.01;1718.44;1702.51;1389.51;1381.36;1393.06;1380.14;1429.93;1426.31;1435.80;1424.73;1056.01;1053.34;1060.34;1052.17;7111.85;2124.28;
05.03.2013;7629.70;7718.46;7729.43;7629.13;1688.36;1711.94;1712.86;1688.36;1368.68;1387.79;1388.53;1368.68;1414.52;1430.25;1432.07;1414.47;1044.63;1056.24;1057.59;1044.59;7129.89;2130.16;
04.03.2013;7584.46;7590.52;7596.99;7571.00;1680.51;1682.15;1682.84;1672.03;1362.31;1363.64;1364.20;1355.44;1404.74;1406.43;1407.20;1402.46;1037.41;1038.65;1039.22;1035.72;7013.86;2100.74;
01.03.2013;7577.99;7601.99;7619.07;7548.73;1693.56;1686.45;1698.75;1676.74;1372.89;1367.12;1377.10;1359.26;1405.72;1408.69;1411.78;1399.46;1038.13;1040.33;1042.61;1033.51;7027.07;2107.00;
28.02.2013;7510.05;7593.67;7598.47;7505.01;1681.80;1694.27;1694.39;1680.77;1363.36;1373.46;1373.56;1362.52;1392.45;1407.91;1408.72;1392.01;1028.33;1039.75;1040.34;1028.01;7024.53;2113.46;
27.02.2013;7482.08;7484.99;7491.90;7423.62;1665.52;1677.67;1677.95;1660.39;1350.16;1360.01;1360.24;1346.00;1387.32;1388.37;1389.42;1376.81;1024.54;1025.31;1026.09;1016.78;6930.18;2097.46;
26.02.2013;7445.80;7449.98;7499.56;7439.82;1662.88;1658.36;1663.08;1653.39;1348.49;1344.82;1348.66;1340.80;1380.44;1380.97;1389.54;1379.26;1019.50;1019.89;1026.22;1018.62;6895.03;2078.56;
25.02.2013;7577.34;7594.35;7611.16;7568.71;1676.82;1677.52;1686.45;1670.93;1359.79;1360.36;1367.60;1355.02;1395.46;1398.09;1401.56;1393.30;1036.94;1038.89;1041.48;1035.33;6979.02;2097.20;
22.02.2013;7512.04;7554.38;7563.69;7510.57;1665.93;1674.67;1676.71;1664.85;1350.96;1358.05;1359.70;1350.09;1384.01;1391.20;1392.89;1383.43;1028.44;1033.77;1035.03;1028.00;6946.87;2094.87;
21.02.2013;7609.03;7505.71;7616.26;7505.71;1675.41;1664.34;1675.53;1655.57;1358.65;1349.67;1358.75;1342.57;1400.88;1382.27;1401.49;1382.26;1040.97;1027.14;1041.42;1027.14;6904.09;2084.84;
20.02.2013;7571.21;7626.01;7635.12;7567.10;1686.38;1682.93;1697.87;1679.77;1367.55;1364.75;1376.87;1362.19;1394.89;1403.79;1405.75;1394.29;1036.52;1043.13;1044.59;1036.07;7009.31;2105.30;
19.02.2013;7493.02;7579.50;7579.50;7491.08;1674.41;1685.39;1685.68;1669.21;1357.84;1366.74;1366.98;1353.63;1381.32;1396.23;1396.23;1380.41;1026.44;1037.51;1037.51;1025.76;6973.51;2104.52;
18.02.2013;7493.25;7497.23;7504.39;7476.57;1681.16;1675.11;1681.68;1674.03;1363.31;1358.41;1363.74;1357.53;1381.68;1381.70;1382.97;1378.23;1026.71;1026.72;1027.66;1024.14;6903.35;2091.66;
15.02.2013;7504.60;7500.57;7524.88;7487.80;1672.07;1676.93;1680.13;1668.45;1355.94;1359.89;1362.48;1353.00;1382.63;1382.40;1386.57;1379.75;1027.41;1027.24;1030.33;1025.27;6907.21;2092.73;
14.02.2013;7465.26;7482.20;7488.42;7439.32;1669.80;1672.18;1677.27;1661.67;1354.10;1356.03;1360.16;1347.51;1375.15;1378.96;1380.28;1371.02;1021.85;1024.68;1025.66;1018.78;6890.52;2088.85;
13.02.2013;7442.69;7482.22;7497.67;7439.91;1654.16;1668.81;1671.47;1653.61;1341.42;1353.30;1355.46;1340.98;1370.84;1378.70;1381.47;1370.50;1018.64;1024.49;1026.55;1018.39;6886.97;2082.77;
12.02.2013;7425.71;7427.06;7433.98;7394.84;1646.73;1648.99;1651.56;1641.67;1335.40;1337.22;1339.31;1331.29;1366.96;1367.95;1369.27;1362.25;1015.77;1016.50;1017.48;1012.26;6832.97;2062.73;
11.02.2013;7406.63;7407.60;7429.43;7392.29;1643.62;1645.09;1647.33;1638.70;1332.87;1334.07;1335.88;1328.89;1363.86;1364.40;1368.02;1361.46;1013.46;1013.86;1016.55;1011.68;6818.34;2061.40;
08.02.2013;7357.61;7395.97;7406.27;7354.56;1633.06;1643.94;1644.46;1632.88;1324.31;1333.14;1333.56;1324.16;1355.42;1362.37;1364.10;1354.79;1007.19;1012.35;1013.64;1006.72;6809.23;2059.77;
07.02.2013;7408.00;7337.05;7427.41;7336.76;1633.95;1628.48;1638.75;1624.60;1325.03;1320.60;1328.92;1317.45;1362.69;1351.33;1367.08;1351.27;1012.59;1004.15;1015.85;1004.11;6755.55;2045.72;
06.02.2013;7398.42;7433.47;7465.51;7387.63;1638.16;1636.05;1650.31;1625.57;1328.44;1326.73;1338.29;1318.24;1362.33;1368.01;1374.47;1359.73;1012.32;1016.54;1021.34;1010.39;6835.20;2052.43;
05.02.2013;7344.66;7404.63;7423.06;7344.66;1626.01;1634.79;1638.64;1626.01;1318.60;1325.71;1328.83;1318.59;1353.81;1363.10;1366.29;1353.42;1005.99;1012.89;1015.27;1005.70;6811.08;2046.99;
04.02.2013;7427.56;7362.72;7445.90;7362.31;1637.07;1628.77;1642.70;1627.37;1327.56;1320.83;1332.13;1319.69;1366.87;1355.63;1370.55;1355.56;1015.70;1007.35;1018.43;1007.29;6775.12;2042.39;
01.02.2013;7383.67;7420.35;7440.87;7382.24;1615.77;1638.13;1639.22;1615.75;1310.29;1328.42;1329.30;1310.27;1358.41;1365.98;1369.23;1357.90;1009.41;1015.04;1017.45;1009.03;6824.36;2050.69;
31.01.2013;7385.87;7390.86;7417.95;7343.81;1616.86;1614.27;1618.80;1604.55;1311.17;1309.07;1312.74;1301.19;1359.38;1359.19;1363.75;1350.59;1010.13;1009.99;1013.38;1003.60;6789.40;2026.73;
30.01.2013;7453.39;7387.90;7456.47;7380.96;1627.23;1617.65;1628.64;1615.73;1319.58;1311.81;1320.72;1310.26;1370.79;1358.96;1371.17;1357.78;1018.61;1009.82;1018.89;1008.94;6789.27;2030.37;
29.01.2013;7460.21;7458.03;7465.98;7414.07;1635.93;1624.14;1636.21;1619.97;1326.64;1317.08;1326.86;1313.69;1372.47;1371.17;1372.86;1363.69;1019.86;1018.89;1020.15;1013.33;6848.51;2039.64;
28.01.2013;7470.91;7483.95;7495.83;7462.98;1645.29;1638.78;1645.82;1638.66;1335.03;1329.75;1335.46;1329.65;1374.62;1376.64;1379.00;1373.42;1021.51;1023.01;1024.77;1020.62;6876.58;2056.39;
25.01.2013;7443.19;7458.66;7468.38;7435.83;1635.59;1641.66;1643.92;1634.09;1327.16;1332.09;1333.92;1325.94;1369.37;1372.65;1374.34;1368.39;1017.61;1020.05;1021.31;1016.89;6854.89;2056.09;
24.01.2013;7391.63;7457.74;7465.76;7380.39;1621.81;1635.26;1635.53;1618.99;1315.98;1326.89;1327.11;1313.69;1359.87;1371.99;1373.28;1357.84;1010.56;1019.56;1020.52;1009.04;6849.77;2046.08;
23.01.2013;7329.45;7391.95;7406.46;7325.75;1616.76;1624.91;1626.16;1616.47;1311.88;1318.50;1319.51;1311.64;1350.25;1360.21;1362.58;1348.64;1003.40;1010.80;1012.56;1002.20;6794.09;2037.15;
22.01.2013;7339.63;7291.85;7340.71;7280.44;1624.07;1616.52;1625.01;1612.07;1317.81;1311.68;1318.57;1308.07;1351.45;1342.85;1351.62;1340.63;1004.30;997.91;1004.42;996.25;6710.38;2029.48;
21.01.2013;7362.93;7336.05;7375.97;7310.62;1633.35;1626.52;1633.86;1620.62;1325.35;1319.80;1325.76;1315.01;1356.80;1351.01;1358.16;1346.31;1008.27;1003.97;1009.28;1000.48;6751.27;2038.16;
18.01.2013;7449.18;7368.80;7457.65;7363.04;1642.85;1633.66;1645.99;1632.77;1333.05;1325.59;1335.60;1324.87;1371.88;1357.03;1372.46;1356.11;1019.48;1008.44;1019.91;1007.75;6777.89;2045.59;
17.01.2013;7324.67;7429.89;7430.54;7321.89;1613.67;1637.30;1637.39;1613.35;1309.37;1328.55;1328.62;1309.11;1347.86;1367.51;1367.61;1347.86;1001.62;1016.23;1016.31;1001.62;6826.12;2048.53;
16.01.2013;7272.12;7304.85;7319.35;7259.62;1613.21;1612.45;1615.17;1604.17;1309.00;1308.38;1310.60;1301.67;1339.30;1344.70;1347.34;1336.56;995.27;999.28;1001.24;993.23;6715.43;2021.09;
15.01.2013;7203.72;7272.31;7272.51;7201.15;1614.38;1615.57;1620.49;1612.48;1309.95;1310.91;1314.91;1308.41;1328.06;1339.52;1339.54;1327.54;986.91;995.43;995.45;986.53;6690.79;2027.76;
14.01.2013;7212.57;7202.52;7230.77;7187.53;1612.50;1613.45;1621.98;1611.78;1308.42;1309.19;1316.12;1307.84;1329.85;1327.71;1332.92;1325.32;988.24;986.66;990.53;984.88;6634.68;2025.19;
11.01.2013;7175.33;7188.22;7194.33;7155.28;1610.14;1606.66;1613.73;1603.86;1306.51;1303.68;1309.42;1301.41;1322.23;1324.80;1325.89;1319.51;982.58;984.49;985.30;980.56;6619.71;2018.68;
10.01.2013;7163.12;7143.73;7175.09;7139.24;1607.05;1605.60;1610.62;1603.44;1304.00;1302.83;1306.90;1301.07;1320.70;1317.29;1322.79;1316.41;981.44;978.91;983.00;978.26;6583.62;2016.55;
09.01.2013;7097.81;7151.60;7152.64;7094.95;1592.27;1604.02;1604.02;1591.56;1292.01;1301.55;1301.55;1291.43;1308.99;1318.48;1318.61;1308.22;972.74;979.80;979.89;972.17;6589.71;2013.16;
08.01.2013;7051.37;7074.52;7088.53;7046.25;1589.11;1591.02;1595.61;1587.46;1289.44;1291.00;1294.72;1288.10;1301.14;1304.61;1307.25;1299.68;966.91;969.49;971.45;965.83;6521.60;1997.60;
07.01.2013;7062.40;7049.30;7073.13;7049.20;1591.71;1591.59;1593.89;1589.04;1291.55;1291.46;1293.33;1289.39;1302.65;1300.45;1304.58;1300.40;968.03;966.39;969.46;966.36;6502.07;1995.41;
04.01.2013;7015.48;7058.92;7059.12;7004.58;1575.23;1591.14;1591.14;1572.45;1278.19;1291.09;1291.09;1275.93;1293.14;1302.01;1302.02;1291.60;960.97;967.56;967.56;959.82;6507.68;1994.48;
03.01.2013;6975.16;7020.46;7020.46;6970.80;1553.83;1574.00;1574.00;1553.39;1260.82;1277.18;1277.18;1260.46;1285.60;1294.26;1294.26;1284.39;955.36;961.79;961.79;954.46;6470.37;1977.37;
28.12.2012;6871.57;6822.44;6879.23;6822.44;1539.90;1532.87;1540.00;1531.18;1249.51;1243.81;1249.60;1242.44;1267.25;1258.01;1268.02;1258.01;941.72;934.86;942.30;934.86;6290.52;1935.34;
27.12.2012;6877.28;6862.55;6892.87;6858.84;1538.95;1538.90;1542.07;1534.73;1248.74;1248.70;1251.27;1245.32;1268.54;1265.17;1270.38;1264.57;942.69;940.18;944.05;939.73;6324.04;1940.09;
21.12.2012;6916.26;6889.54;6926.73;6868.24;1547.33;1537.12;1547.51;1532.16;1255.54;1247.26;1255.69;1243.23;1275.17;1269.53;1276.45;1265.69;947.61;943.42;948.56;940.57;6344.62;1937.24;
20.12.2012;6921.99;6912.79;6930.34;6908.32;1544.07;1547.47;1549.71;1540.26;1252.90;1255.66;1257.47;1249.81;1275.79;1274.22;1277.13;1273.17;948.07;946.90;949.07;946.12;6368.60;1948.53;
19.12.2012;6931.79;6946.07;6972.09;6925.31;1542.78;1546.09;1547.99;1542.33;1251.85;1254.54;1256.08;1251.49;1276.97;1279.67;1284.14;1276.06;948.94;950.95;954.27;948.27;6394.35;1946.04;
18.12.2012;6918.94;6912.09;6931.11;6904.24;1533.26;1539.37;1542.08;1532.63;1244.12;1249.09;1251.28;1243.62;1274.21;1273.47;1276.86;1271.95;946.90;946.35;948.86;945.22;6363.99;1938.53;
17.12.2012;6897.76;6897.10;6900.14;6879.61;1528.91;1531.35;1533.70;1528.17;1240.60;1242.58;1244.48;1239.99;1270.01;1270.35;1270.84;1267.22;943.77;944.03;944.39;941.70;6346.16;1928.03;
14.12.2012;6925.40;6902.51;6926.72;6894.05;1525.56;1529.75;1532.85;1525.26;1237.88;1241.28;1243.80;1237.63;1274.43;1271.13;1275.07;1269.74;947.06;944.61;947.53;943.57;6349.20;1927.48;
13.12.2012;6967.56;6919.54;6969.51;6913.68;1534.36;1523.48;1534.64;1523.48;1245.02;1236.19;1245.25;1236.19;1282.41;1273.49;1282.68;1272.67;952.99;946.36;953.19;945.75;6362.37;1924.26;
12.12.2012;6972.50;6959.39;7000.60;6957.06;1534.75;1533.26;1538.23;1533.06;1245.34;1244.13;1248.16;1243.97;1283.51;1280.90;1288.04;1280.63;953.81;951.87;957.18;951.66;6397.83;1932.41;
11.12.2012;6947.55;6973.69;6986.93;6940.23;1532.52;1535.86;1538.13;1529.34;1243.53;1246.24;1248.08;1240.95;1278.86;1283.49;1285.81;1277.45;950.35;953.79;955.52;949.30;6410.86;1933.75;
10.12.2012;6921.83;6943.90;6948.60;6897.71;1533.16;1534.94;1534.94;1523.72;1244.05;1245.49;1245.49;1236.38;1274.62;1278.44;1279.19;1269.93;947.20;950.04;950.60;943.72;6386.54;1931.69;
07.12.2012;6908.68;6925.25;6940.77;6898.05;1529.72;1532.87;1532.87;1525.26;1241.25;1243.81;1243.81;1237.64;1273.12;1275.17;1277.68;1270.08;946.09;947.61;949.48;943.83;6370.83;1930.41;
06.12.2012;6861.29;6912.02;6912.16;6861.29;1524.03;1530.75;1531.83;1522.71;1236.64;1242.09;1242.97;1235.57;1264.21;1272.79;1272.82;1264.16;939.46;945.84;945.86;939.42;6358.44;1927.45;
05.12.2012;6870.37;6852.04;6876.52;6834.22;1519.12;1517.73;1524.54;1515.58;1232.65;1231.53;1237.05;1229.78;1265.43;1261.77;1265.84;1258.98;940.37;937.65;940.68;935.58;6305.55;1915.52;
04.12.2012;6841.42;6853.15;6872.92;6839.51;1517.23;1514.66;1518.56;1511.87;1231.12;1229.04;1232.20;1226.77;1260.27;1261.72;1265.19;1259.58;936.54;937.61;940.19;936.02;6302.20;1908.61;
03.12.2012;6831.93;6838.70;6874.04;6827.16;1510.54;1514.27;1519.49;1509.16;1225.70;1228.72;1232.95;1224.57;1257.32;1259.27;1265.52;1256.98;934.35;935.80;940.44;934.09;6289.91;1909.46;
30.11.2012;6819.80;6820.60;6848.20;6815.31;1497.52;1508.83;1509.35;1496.98;1215.13;1224.31;1224.73;1214.69;1255.08;1255.83;1260.45;1254.13;932.68;933.24;936.67;931.97;6275.35;1906.39;
