Date,Open,High,Low,Close,Price,Change %
1988-06-01,1.5043,1.518,1.4215,1.5043,1.5043,4.11%
1988-07-01,1.5633,1.5698,1.5005,1.5633,1.5633,3.92%
1988-08-01,1.5846,1.6145,1.5466,1.5846,1.5846,1.36%
1988-09-01,1.5818,1.5981,1.5487,1.5818,1.5818,-0.18%
1988-10-01,1.5058,1.587,1.4836,1.5058,1.5058,-4.80%
1988-11-01,1.4483,1.5144,1.4298,1.4483,1.4483,-3.82%
1988-12-01,1.4997,1.5184,1.4375,1.4997,1.4997,3.55%
1989-01-01,1.5969,1.6007,1.4855,1.5969,1.5969,6.48%
1989-02-01,1.5545,1.6041,1.5432,1.5545,1.5545,-2.66%
1989-03-01,1.6612,1.6646,1.5542,1.6612,1.6612,6.86%
1989-04-01,1.6759,1.6762,1.6209,1.6759,1.6759,0.88%
1989-05-01,1.7128,1.8085,1.6749,1.7128,1.7128,2.20%
1989-06-01,1.6749,1.7769,1.656,1.6749,1.6749,-2.21%
1989-07-01,1.6081,1.6803,1.5918,1.6081,1.6081,-3.99%
1989-08-01,1.6957,1.7006,1.5829,1.6957,1.6957,5.45%
1989-09-01,1.6208,1.7306,1.612,1.6208,1.6208,-4.42%
1989-10-01,1.6145,1.6827,1.5947,1.615,1.615,-0.36%
1989-11-01,1.5915,1.6455,1.58,1.592,1.592,-1.42%
1989-12-01,1.54,1.61,1.5205,1.5405,1.5405,-3.23%
1990-01-01,1.5027,1.5895,1.4763,1.5032,1.5032,-2.42%
1990-02-01,1.5,1.5128,1.4675,1.5004,1.5004,-0.19%
1990-03-01,1.5005,1.532,1.4915,1.4976,1.4976,-0.19%
1990-04-01,1.4988,1.5085,1.448,1.4515,1.4515,-3.08%
1990-05-01,1.4508,1.4625,1.385,1.429,1.429,-1.55%
1990-06-01,1.428,1.453,1.395,1.4142,1.4142,-1.04%
1990-07-01,1.4115,1.4215,1.344,1.3467,1.3467,-4.77%
1990-08-01,1.3463,1.384,1.2535,1.309,1.309,-2.80%
1990-09-01,1.3107,1.3365,1.2755,1.2972,1.2972,-0.90%
1990-10-01,1.293,1.302,1.2545,1.2862,1.2862,-0.85%
1990-11-01,1.2857,1.2953,1.239,1.278,1.278,-0.64%
1990-12-01,1.2739,1.3205,1.247,1.2715,1.2715,-0.51%
1991-01-01,1.2728,1.3036,1.2455,1.259,1.259,-0.98%
1991-02-01,1.2586,1.3278,1.2305,1.3245,1.3245,5.20%
1991-03-01,1.3225,1.4655,1.322,1.454,1.454,9.78%
1991-04-01,1.4472,1.5025,1.394,1.443,1.443,-0.76%
1991-05-01,1.441,1.4866,1.424,1.4855,1.4855,2.95%
